DT_REFER;CD_CVM;CD_CONTA;DT_FIM_EXERC_PENULTIMO_BP;DT_FIM_EXERC_PENULTIMO;VL_CONTA_PENULTIMO;VL_CONTA
2011-09-30;2453;5.07;;2010-09-30;12879076000.0;13119246000.0
2011-09-30;2453;6.01;;2010-09-30;3076022000.0;3256294000.0
2011-09-30;2453;6.02;;2010-09-30;-3923179000.0;-1765368000.0
2011-09-30;2453;6.03;;2010-09-30;601033000.0;-618995000.0
2011-09-30;2453;6.05;;2010-09-30;-246124000.0;871931000.0
2011-09-30;2453;7.01;;2010-09-30;14833596000.0;16508403000.0
2011-09-30;2453;7.02;;2010-09-30;-5597173000.0;-6000571000.0
2011-09-30;2453;7.03;;2010-09-30;9236423000.0;10507832000.0
2011-09-30;2453;7.04.01;;2010-09-30;-683917000.0;-700562000.0
2011-09-30;2453;7.05;;2010-09-30;8552506000.0;9807270000.0
2011-09-30;2453;7.06;;2010-09-30;693099000.0;770928000.0
2011-09-30;2453;7.07;;2010-09-30;9245605000.0;10578198000.0
2011-09-30;2453;7.08;;2010-09-30;9245605000.0;10578198000.0
2011-09-30;20257;1.01;2010-12-31;;1081675000.0;1200952000.0
2011-09-30;20257;1.01.01;2010-12-31;;414578000.0;473778000.0
2011-09-30;20257;1.01.02;2010-12-31;;0.0;0.0
2011-09-30;20257;1.01.03;2010-12-31;;634822000.0;711161000.0
2011-09-30;20257;1.01.04;2010-12-31;;786000.0;786000.0
2011-09-30;20257;1.02.01;2010-12-31;;3477534000.0;3487406000.0
2011-09-30;20257;1.02.02;2010-12-31;;0.0;0.0
2011-09-30;20257;1.02.03;2010-12-31;;12741000.0;12949000.0
2011-09-30;20257;1.02.04;2010-12-31;;4159000.0;3953000.0
2011-09-30;20257;2.01;2010-12-31;;308495000.0;442348000.0
2011-09-30;20257;2.01.02;2010-12-31;;11578000.0;7542000.0
2011-09-30;20257;2.01.03;2010-12-31;;16468000.0;5302000.0
2011-09-30;20257;2.01.04;2010-12-31;;54017000.0;68669000.0
2011-09-30;20257;2.01.05;2010-12-31;;226432000.0;360835000.0
2011-09-30;20257;2.01.06;2010-12-31;;0.0;0.0
2011-09-30;20257;2.01.07;2010-12-31;;0.0;0.0
